Neuronas,Inicialización,Normalización,Learning rate,Batch size,Accuracy,Error final,Tiempo (s)
8,xavier,z-score,0.5,16,0.5,0.25,0.41
8,xavier,z-score,0.5,32,0.5,0.25,0.44
8,xavier,z-score,0.5,64,0.5,0.25,0.23
8,xavier,z-score,0.1,64,0.5,0.25,0.42
8,xavier,z-score,0.1,32,0.5,0.25,0.43
8,xavier,z-score,0.1,16,0.5,0.25,0.39
8,xavier,z-score,0.1,8,0.5,0.25,0.4
8,normal,z-score,0.5,64,0.5,0.25,0.22
8,normal,z-score,0.5,32,0.5,0.25,0.21
8,normal,z-score,0.5,16,0.5,0.25,0.2
8,normal,z-score,0.5,8,0.5,0.25,0.22
16,normal,none,0.01,64,0.5,0.25,0.22
16,normal,none,0.01,32,0.5,0.25,0.22
16,normal,none,0.01,16,0.5,0.25,0.23
16,normal,none,0.01,8,0.5,0.25,0.26
4,normal,none,0.01,64,0.5,0.25,0.21
4,normal,none,0.01,32,0.5,0.25,0.21
4,normal,none,0.01,16,0.5,0.25,0.21
4,normal,none,0.01,8,0.5,0.25,0.21
4,normal,z-score,0.01,64,0.5,0.25,0.2
4,normal,z-score,0.01,32,0.5,0.25,0.21
4,normal,z-score,0.01,16,0.5,0.25,0.21
4,normal,z-score,0.01,8,0.5,0.25,0.2
8,xavier,none,0.01,8,0.5,0.25,0.21
8,xavier,none,0.01,16,0.5,0.25,0.22
8,xavier,none,0.01,32,0.5,0.25,0.22
8,xavier,none,0.01,64,0.5,0.25,0.23
4,normal,z-score,0.1,8,0.5,0.25,0.2
4,normal,z-score,0.1,16,0.5,0.25,0.21
4,normal,z-score,0.1,32,0.5,0.25,0.21
4,normal,z-score,0.1,64,0.5,0.25,0.2
32,xavier,none,0.01,64,0.5,0.25,0.22
32,xavier,none,0.01,32,0.5,0.25,0.25
32,xavier,none,0.01,16,0.5,0.25,0.22
32,xavier,none,0.01,8,0.5,0.25,0.21
4,xavier,z-score,0.1,64,0.5,0.25,0.2
4,xavier,z-score,0.1,32,0.5,0.25,0.2
4,xavier,z-score,0.1,16,0.5,0.25,0.2
4,xavier,z-score,0.1,8,0.5,0.25,0.2
4,xavier,z-score,0.01,64,0.5,0.25,0.2
4,xavier,z-score,0.01,32,0.5,0.25,0.2
4,xavier,z-score,0.01,16,0.5,0.25,0.2
4,xavier,z-score,0.01,8,0.5,0.25,0.21
